movie_id,title,year,genres,avg_rating
136782,The Girl is in Trouble ,2015,Thriller,5.0
186119,A Gift Horse ,2015,Children,5.0
137032,The Perfect Neighbor ,2005,Drama|Thriller,5.0
184643,Relentless ,2018,Thriller,5.0
137038,The Perfect Wife ,2001,Drama|Thriller,5.0
197231,The Harrow ,2016,Crime|Drama|Mystery|Romance|Thriller,5.0
184669,Devil's Whisper ,2017,Horror,5.0
137048,Perfect Child ,2007,Drama,5.0
137050,The Rival ,2006,Thriller,5.0
137052,A Job to Kill For ,2006,Drama|Thriller,5.0
137064,Twisted Desire ,1996,Crime|Drama,5.0
197095,From Other Worlds ,2004,Comedy|Sci-Fi,5.0
137078,Stranger in My House ,1999,Thriller,5.0
158681,Courage ,2009,Children|Drama,5.0
197035,Alien Rising ,2013,Action|Sci-Fi|Thriller,5.0
197027,Nowhere Mind ,2018,Thriller,5.0
184903,Joy Road ,2011,Crime|Drama,5.0
196959,I Am JFK Jr. ,2016,(no genres listed),5.0
158649,La Soif du Monde ,2012,Documentary,5.0
137132,HottieBoombaLottie ,2008,Comedy|Romance,5.0
185085,The Legend of Earl Durand ,1980,(no genres listed),5.0
158378,Queen of Carthage ,2013,Drama|Thriller,5.0
196845,Journey to the Christmas Star ,2012,Adventure|Children|Fantasy,5.0
137140,Blue Ridge ,2012,(no genres listed),5.0
137148,Shoot the Messenger ,2006,(no genres listed),5.0
185237,The Purifiers ,2005,Action|Adventure|Sci-Fi,5.0
196787,The Law and the Fist ,1964,Drama|War,5.0
137178,Missing Pieces ,2012,Drama,5.0
185263,Deaf child ,2017,Documentary,5.0
137194,Meeting Spencer ,2010,Comedy,5.0
196725,My Santa ,2013,Children|Fantasy|Romance,5.0
159048,One Way Out ,2002,Action|Crime|Drama|Thriller,5.0
197263,Dance Baby Dance ,2018,Drama,5.0
159050,The Pilot's Wife ,2005,(no genres listed),5.0
136878,Paradh ,2010,(no genres listed),5.0
136734,What Now ,2015,Comedy,5.0
136770,Transatlantic Coffee ,2012,(no genres listed),5.0
159135,The Viking ,1931,Action|Adventure|Drama|Romance,5.0
184335,Man Camp ,2013,Comedy,5.0
136802,The Historian ,2014,Drama,5.0
136826,The Defiant Ones ,1986,Drama,5.0
136853,Laugh Killer Laugh ,2015,Crime|Drama,5.0
